Company Name,Industry,Symbol,Series,ISIN Code,Ticker
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,TMPV.NS
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,TATAPOWER.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,TATASTEEL.NS
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,TECHM.NS
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,TITAN.NS
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,TORNTPHARM.NS
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,TRENT.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,ULTRACEMCO.NS
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,UNIONBANK.NS
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,UNITDSPR.NS
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,VBL.NS
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,VEDL.NS
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,WIPRO.NS
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,ZYDUSLIFE.NS
